,_id,_uuid,__version__,_submission_time,_validation_status,timestamp,_submitted_by,fecha,monitor,Comunidad,actividad,poligono,linea,punto,transecto,_geolocation,uso_plantas,especie,num_plantas,otra_sp
61,395072607,41c371c4-f3b4-471e-862d-831d82e03939,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:50:31,Approved,1736873394,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463671 -76.986137 0 0,,"[-2.463671, -76.986137]",siembra_madera_fina,Otra_sp,,
62,395072691,47f41392-a9f8-468f-8688-b30865d5eed0,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:50:53,Approved,1736873393,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463694 -76.986127 0 0,,"[-2.463694, -76.986127]",siembra_madera_fina,Otra_sp,,
63,395072758,9954a146-b074-42fb-b29e-e7d307898f75,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:51:15,Approved,1736873391,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463774 -76.986176 0 0,,"[-2.463774, -76.986176]",siembra_madera_fina,Otra_sp,,
64,395072876,40fbe40a-cc91-4bdf-a8aa-3f8f52dfe6ac,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:51:34,Approved,1736873389,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463845 -76.986138 0 0,,"[-2.463845, -76.986138]",siembra_madera_fina,Minquartia_guianensis,,
65,395073045,b7573987-0c16-46f6-978d-75cf74118b4a,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:51:56,Approved,1736873388,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463916 -76.986159 0 0,,"[-2.463916, -76.986159]",siembra_madera_fina,Otra_sp,,
66,395073171,8da6e298-82d0-49e3-819d-39005a86723a,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:52:23,Approved,1736873386,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463969 -76.986177 0 0,,"[-2.463969, -76.986177]",siembra_madera_fina,Otra_sp,,
67,395073291,d1460e22-e45d-4007-9423-8ccc2f6dc343,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:52:45,Approved,1736873384,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463681 -76.986166 0 0,,"[-2.463681, -76.986166]",siembra_madera_fina,Minquartia_guianensis,,
68,395073382,6bbacb6a-e686-4071-b47b-e44f548b14e6,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:53:06,Approved,1736873382,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463686 -76.986214 0 0,,"[-2.463686, -76.986214]",siembra_madera_fina,Minquartia_guianensis,,
69,395073678,f801f406-dfa4-432b-bc87-ae701e5fbddb,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:54:26,Approved,1736873351,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.46399 -76.988986 0 0,,"[-2.46399, -76.988986]",siembra_madera_fina,Minquartia_guianensis,,
70,395073730,4d7f7519-a1d4-4c12-b3dc-698b75d84497,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:54:45,Approved,1736873349,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.464035 -76.988883 0 0,,"[-2.464035, -76.988883]",siembra_madera_fina,Minquartia_guianensis,,
71,395073853,677dc2e0-ffd0-4fa3-b5d2-78f9d8a6904d,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:55:20,Approved,1736873348,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.46393 -76.988771 0 0,,"[-2.46393, -76.988771]",siembra_madera_fina,Minquartia_guianensis,,
72,395073906,2d57da50-b05d-478b-a9f4-0f87032cd04c,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:55:41,Approved,1736873346,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463886 -76.988714 0 0,,"[-2.463886, -76.988714]",siembra_madera_fina,Minquartia_guianensis,,
73,395073985,fa0f6634-59e1-46c4-88e7-3f56e1647ed5,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:56:09,Approved,1736873344,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463841 -76.988655 0 0,,"[-2.463841, -76.988655]",siembra_madera_fina,Minquartia_guianensis,,
74,395074068,7d59ba4e-37b6-40e3-aed4-04ffc5fba584,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:56:37,Approved,1736873342,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463797 -76.988631 0 0,,"[-2.463797, -76.988631]",siembra_madera_fina,Minquartia_guianensis,,
75,395074270,a74b9cbd-74e1-487f-b227-b14da19dbbc8,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:57:10,Approved,1736873340,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.46381 -76.988581 0 0,,"[-2.46381, -76.988581]",siembra_madera_fina,Minquartia_guianensis,,
76,395074434,7ce93c6f-5cce-40d2-95df-3dd4bd665994,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:57:41,Approved,1736873339,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.46379 -76.988556 0 0,,"[-2.46379, -76.988556]",siembra_madera_fina,Abio,,
77,395074532,4490f5b9-6fca-42ea-9989-ad98000bca78,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:58:00,Approved,1736873337,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463848 -76.988511 0 0,,"[-2.463848, -76.988511]",siembra_madera_fina,Minquartia_guianensis,,
78,395074635,718af280-b022-40f8-b34c-be421f3ecf84,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:58:24,Approved,1736873336,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463716 -76.988649 0 0,,"[-2.463716, -76.988649]",siembra_madera_fina,Minquartia_guianensis,,
79,395074780,efd6959d-3754-42c2-adb6-e4fd803a8589,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:58:51,Approved,1736873334,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463687 -76.988629 0 0,,"[-2.463687, -76.988629]",siembra_madera_fina,Minquartia_guianensis,,
80,395074989,c29a3e53-90d8-4181-8522-924dd4d22c03,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:59:17,Approved,1736873332,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463646 -76.988646 0 0,,"[-2.463646, -76.988646]",siembra_madera_fina,Minquartia_guianensis,,
81,395075187,cb47088d-0ff8-4cd9-a47a-c4fb8ef33db0,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:59:42,Approved,1736873331,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463605 -76.988725 0 0,,"[-2.463605, -76.988725]",siembra_madera_fina,Minquartia_guianensis,,
82,395075381,1cb3ef09-6246-414e-84a2-aef4b2063e1d,vyVCeasvVkmgvtHGva36kK,2024-10-14T21:00:03,Approved,1736873329,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.46355 -76.98873 0 0,,"[-2.46355, -76.98873]",siembra_madera_fina,Minquartia_guianensis,,
83,395075465,5358d4a4-6e58-474b-9a3d-5a51eba5d73e,vyVCeasvVkmgvtHGva36kK,2024-10-14T21:00:21,Approved,1736873323,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463484 -76.98874 0 0,,"[-2.463484, -76.98874]",siembra_madera_fina,Minquartia_guianensis,,
84,395075526,687e6f92-8bf8-4310-9560-d97813e257b6,vyVCeasvVkmgvtHGva36kK,2024-10-14T21:00:41,Approved,1736873322,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.46365 -76.988659 0 0,,"[-2.46365, -76.988659]",siembra_madera_fina,Cedrela_odorate,,
85,395075595,a415d99c-0076-46bf-85bf-009d769cf0db,vyVCeasvVkmgvtHGva36kK,2024-10-14T21:01:03,Approved,1736873321,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463787 -76.988989 0 0,,"[-2.463787, -76.988989]",siembra_madera_fina,Abio,,
86,395075814,dc25c268-c83f-4779-9e8c-c82d5ef5427d,vyVCeasvVkmgvtHGva36kK,2024-10-14T21:02:12,Approved,1736873319,monitoreo_pachamama,2024-05-05,Juan,,reforestacion,,,-2.463762 -76.988767 0 0,,"[-2.463762, -76.988767]",siembra_madera_fina,Abio,,
